	001A	001B	002B	004B	006A	006B	008A	009A	009B	010A	010B	012A	012B	013A	014B	016B	017B	018B	020B	27S	30S	4S
Acetaldehyde dehydrogenase (EC 1.2.1.10)	1838	9165	848	1718	11774	667	1139	5816	9029	3911	7984	6751	4429	5013	4477	1834	6084	1220	1331	2773	8418	6599
Acetaldehyde dehydrogenase, ethanolamine utilization cluster	0	1	2	0	60	0	7	27	0	24	1	8	3	37	22	2	25	4	1	4	0	0
Acetate kinase (EC 2.7.2.1)	4330	9796	4463	6901	7998	2375	12363	11126	5374	11052	4298	10249	9547	6211	10992	11212	28105	16331	4315	6998	7404	5550
Acetate permease ActP (cation/acetate symporter)	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Acetoacetate metabolism regulatory protein AtoC	0	0	0	0	48	0	1	1	0	0	0	0	0	1	0	0	1	0	1	2	0	0
Acetoacetyl-CoA reductase (EC 1.1.1.36)	0	0	0	0	3	0	0	8	0	10	0	16	3	0	0	1	1	5	0	0	0	0
Acetoin (diacetyl) reductase (EC 1.1.1.5)	11	7	1	6	1	1	2	2	3	1	1	1	1	1	1	1	2	1	3	1	4	35
Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-)	3	5	5	3	2966	10	225	12415	3	869	6	4310	352	527	132	255	1359	688	2	13	1	1
Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)	5	9	4	4	2120	12	204	9435	3	686	6	3570	303	398	114	187	760	537	4	6	2	1
Acetolactate synthase large subunit (EC 2.2.1.6)	3	3	2	3	31	1	766	38	3	11	2	24	272	90	1339	40	127	22	1	16	1	1
Acetolactate synthase small subunit (EC 2.2.1.6)	2	5	4	2	75	2	1837	61	3	14	2	36	365	151	3749	92	289	67	3	16	2	2
Acetolactate synthase, catabolic (EC 2.2.1.6)	163	0	0	8	4	5	1	8	0	3	0	1	1	3	4	1	9	0	1	6	2	3
Acetyl xylan esterase (EC 3.1.1.41)	3	305	1	2	4	3	3	2	2718	6	3416	5	2	1	2	5	3	1	1	3	1839	982
Acetyl-CoA acetyltransferase (EC 2.3.1.9)	1378	6236	1716	2080	1129	680	251	1079	5637	76	2879	777	249	224	250	208	334	90	1205	162	2281	6209
Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	41	220	41	50	3085	37	7359	2937	101	1102	118	4620	7199	2242	5491	8048	7253	3228	35	1263	66	91
Acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	2	4	25	2	89	2	2	71	2	4	11	4	3	3	2	4	7	3	2	3	2	4
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	3	4	21	3	646	4	317	1003	8	367	9	857	1544	433	1460	122	1170	929	8	2382	11	6
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Acetylglutamate kinase (EC 2.7.2.8)	1	2	2	1	27	1	3	34	1	47	2	191	11	1	1	1	19	4	1	3	1	1
Acetylornithine aminotransferase (EC 2.6.1.11)	1	13	3	1	75	1	3	113	1	121	1	424	42	1	1	1	26	14	1	1	1	1
Acetylornithine aminotransferase 2 (EC 2.6.1.11)	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acetylornithine deacetylase (EC 3.5.1.16)	30	1	3	3	4	1	13	1	3	1	1	4	1	1	1	1	1	1	457	1	1	3
Acetyltransferase YpeA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
Aconitate hydratase (EC 4.2.1.3)	0	1	1	1	0	0	0	1	0	1	2	1	0	0	0	0	1	1	1	0	0	0
Acriflavin resistance protein	10	7	3	2	176	3	392	206	2	154	3	260	367	169	269	769	729	233	3	359	0	1
Activator of the mannose operon (transcriptional antiterminator), BglG family	3	842	2	5	2	2	1	4	254	2	53	2	3	1	2	2	1	2	3	0	2	0
Acyl carrier protein	9445	7149	3165	7272	24365	2529	25677	28711	3474	34271	4081	13608	25914	22330	38158	19649	39670	26699	3423	25952	6972	6538
Acyl carrier protein phosphodiesterase (EC 3.1.4.14)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acyl dehydratase	1	1	1	2	4	1	1	31	1	33	1	70	1	1	1	1	3	7	2	1	1	1
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	21	13	23	12	1820	10	2855	1717	12	2928	10	1113	2661	1800	3797	1974	6535	2509	7	1413	5	4
acyl-acyl carrier protein synthetase (EC 6.2.1.20)	0	0	0	0	1	0	8	19	0	19	0	8	36	10	14	1	0	28	0	0	0	0
Acyl-CoA hydrolase (EC 3.1.2.20)	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0
Acyl-CoA thioesterase II (EC 3.1.2.-)	0	0	0	0	6	0	2	2	0	8	2	7	3	3	6	3	45	10	0	0	0	0
Acyl-CoA thioesterase YciA, involved in membrane biogenesis	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	1030	1460	397	1104	74	431	168	275	1264	46	628	227	118	115	186	231	92	32	1600	192	927	989
Acylamino-acid-releasing enzyme (EC 3.4.19.1)	4	4	5	2	546	3	44	958	2	1370	3	1175	176	61	63	13	377	49	3	15	7	5
Acylphosphate phosphohydrolase (EC 3.6.1.7), putative	2	2	2	2	2	2	2	4	4	2	2	2	2	2	2	2	5	2	2	2	2	2
ADA regulatory protein	36	21	13	16	1520	10	471	1085	9	3974	12	791	5214	847	1497	699	3116	2249	9	447	5	4
Additional periplasmic component NikK of nickel ECF transporter	1	1	1	1	13	1	3	1	1	1	3	1	2	1	10	1	1	2	1	1	1	1
Additional substrate-specific component CbiN of cobalt ECF transporter	1	1	1	1	491	4	7	1	1	1	1	1	1	1	1	1	21	1	1	40	1	1
Adenine deaminase (EC 3.5.4.2)	1	331	1	1	614	2	809	520	170	193	152	494	754	282	574	800	849	502	2	180	113	59
Adenine phosphoribosyltransferase (EC 2.4.2.7)	3921	17247	7233	10076	4100	4877	7703	8040	9835	4175	6385	5718	4345	4335	7857	6128	5643	2944	2296	2513	7234	8799
Adenine-specific methyltransferase (EC 2.1.1.72)	1322	2318	1358	1793	574	932	921	1317	1140	3809	870	1124	3206	833	1339	2115	3160	2068	759	406	694	1013
Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-)	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Adenosine deaminase (EC 3.5.4.4)	1636	2398	115	1875	789	144	9	18	855	10	277	38	545	7	8	4	9	6	67	16	656	627
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	4	6	4	3	205	2	4	9	3	44	3	58	268	5	4	4	5	3	2	2	2	2
Adenosylcobinamide-phosphate synthase	4	4	4	2	257	3	296	195	2	28	4	128	161	69	164	221	333	213	3	63	1	1
Adenosylhomocysteinase (EC 3.3.1.1)	44	27	1963	1328	1449	1591	5436	2331	59	428	14	2533	2161	1969	2183	1738	3375	1773	12	796	193	33
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	4	4	3	2	269	3	1476	1119	3	228	2	913	655	628	1910	1166	1421	1408	4	598	2	1
Adenylate cyclase (EC 4.6.1.1)	2173	1562	1251	1996	2041	956	6238	2866	379	1874	417	1461	3257	1263	9511	3319	7112	5354	562	3377	517	813
Adenylate kinase (EC 2.7.4.3)	31725	42458	42404	67003	12320	28777	45203	41263	39848	21881	15635	32355	27259	27935	26897	40356	45396	18419	21331	33150	16640	10052
Adenylosuccinate lyase (EC 4.3.2.2)	430	9221	8367	13412	4259	4413	8281	8934	2426	10948	3518	8236	8302	4897	12397	10688	14322	6365	689	3251	4669	5265
Adenylosuccinate synthetase (EC 6.3.4.4)	719	13544	6223	9926	7990	3344	13846	14670	3169	16074	5077	13197	7209	5762	12857	11664	18770	8708	938	6381	13753	13641
Adenylylsulfate kinase (EC 2.7.1.25)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Adhesin of unknown specificity SdrE, similar to bone sialoprotein-binding protein Bbp	0	0	0	0	2	3	1	3	0	5	0	2	0	1	1	1	3	3	0	0	0	0
ADP-heptose synthase (EC 2.7.-.-)	2	4	3	6	708	3	733	407	2	161	3	553	1274	271	618	846	977	555	9	77	1	2
ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-)	4	6	12	14	227	9	460	238	2	302	4	149	461	189	438	275	652	267	6	301	2	2
ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)	1	1	0	0	83	0	0	4	0	1	1	3	3	1	34	5	6	3	0	1	1	1
ADP-ribose pyrophosphatase (EC 3.6.1.13)	4953	13274	10800	15783	1481	5845	15525	9008	8024	650	3749	6541	5811	6697	18093	8614	4401	1171	6958	1691	4441	4421
ADP-ribosylglycohydrolase YegU (EC 3.2.-.-)	1	2	13	1	19	1	244	12	1	104	1	1	113	1	1	137	217	128	1	1	2	2
Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	1	1	1	1	2	2	1	1	2	1	1098	3	1	1	1	1	1	1	2	1	1	1
Aerobic respiration control protein arcA	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
Aerobic respiration control sensor protein arcB (EC 2.7.3.-)	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
Aerotaxis sensor receptor protein	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0
Agmatinase (EC 3.5.3.11)	0	0	0	0	5	0	0	2	0	0	1	0	0	0	1	0	1	1	0	0	0	0
Agmatine deiminase (EC 3.5.3.12)	1	4	6	1	1102	1	129	276	1	1504	2	57	257	216	1028	103	841	592	1	231	1	2
Agmatine/putrescine antiporter, associated with agmatine catabolism	5763	6524	379	1699	35	435	46	688	5559	16	2730	304	13	16	22	13	19	9	5741	22	6989	8042
Alanine dehydrogenase (EC 1.4.1.1)	3	1	1	1	4	2	2	11	1	4	1837	3	2	1	2	1	5	1	6	1	1	1
Alanine racemase (EC 5.1.1.1)	1261	4178	2704	4418	1646	1538	2052	3259	2070	342	2000	2105	1383	988	1237	1739	1520	610	1767	613	3576	3756
Alanine racemase, biosynthetic (EC 5.1.1.1)	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alanine racemase, catabolic (EC 5.1.1.1)	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Alanyl-tRNA synthetase (EC 6.1.1.7)	3976	5077	5862	7643	4028	3916	6902	9745	2803	8822	2102	8611	5532	3865	8122	5544	11580	5119	2255	5056	7366	6547
Alanyl-tRNA synthetase family protein	8	1	0	0	33	0	2	42	1	29	0	38	4	7	1	8	19	15	0	1	0	0
Alcohol dehydrogenase (EC 1.1.1.1)	800	1054	195	1010	6796	82	13985	6673	151	68255	305	19766	15312	4088	4901	6972	20561	9036	1253	602	452	236
Alcohol dehydrogenase, zinc-containing	0	0	1	1	2	0	1	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0
Aldehyde dehydrogenase (EC 1.2.1.3)	3	7	5	4	433	4	975	441	6	234	4	597	1320	185	407	896	1014	580	5	301	1	2
Aldehyde dehydrogenase A (EC 1.2.1.22)	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldehyde dehydrogenase B (EC 1.2.1.22)	17	8	6	5	385	2	85	780	1	2788	5	1277	75	11	12	76	133	512	3	33	2	1
Aldose 1-epimerase (EC 5.1.3.3)	1691	1468	281	187	624	147	228	1349	523	4692	1103	1251	1128	756	1569	199	5164	1613	161	220	293	199
Aldose-ketose isomerase YihS	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
Alfa-L-rhamnosidase (EC 3.2.1.40)	0	9	3	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0
Alkaline phosphatase (EC 3.1.3.1)	827	320	53	223	814	95	465	1659	438	7570	77	1962	1733	1930	2372	452	7048	3309	357	2119	153	189
Alkaline phosphatase like protein	943	1821	2389	3015	92	1535	1931	1095	1024	832	701	964	1046	1819	1562	2775	1512	482	1166	808	617	887
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	370	22	26	8	332	13	2821	693	8	1957	10	742	2720	1648	5078	2828	8189	5587	10	2096	16	9
Alkanesulfonate monooxygenase (EC 1.14.14.5)	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Alkanesulfonate utilization operon LysR-family regulator CbI	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Alkanesulfonates ABC transporter ATP-binding protein	19	15	11	51	88	5	1192	1124	2	438	2	373	255	428	1715	346	1419	1028	23	400	2	2
Alkanesulfonates transport system permease protein	13	5	2	2	296	4	218	575	1	136	3	261	245	84	2964	240	623	1048	1	202	3	2
Alkanesulfonates-binding protein	23	10	6	3	525	309	1675	1945	3	686	6	1428	800	338	6088	683	1474	1748	5	243	2	3
Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	2769	697	789	618	35041	283	42591	53453	274	134872	1574	40573	42420	16279	30672	47232	78929	111330	962	38224	39	49
Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	280	34	42	49	1148	15	1888	2291	15	13157	13	677	1269	1273	1533	735	5438	8140	188	2353	8	5
Alkyl hydroperoxide reductase subunit C-like protein	1	1	4	1	1194	3	5	31	2	78	1	15	117	3	1	2	4	1	1	5	1	1
Alkylated DNA repair protein AlkB	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkylhydroperoxidase protein D	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkylphosphonate utilization operon protein PhnA	1	4	1	1	2	2	3	13	1	1	1	1	3	1	1	2	52	32	1	1	1	1
Allantoin permease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Allantoinase (EC 3.5.2.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	1	4	2	2	43	1	3	29	1	40	1	102	1	3	1	1	7	6	1	2	1	1
Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	2	4	1	3	44	2	2	42	1	35	1	117	2	5	1	2	15	12	2	3	1	1
Alpha-1,2-mannosidase	4	9	6	4	386	4	145	457	1	2563	3	170	934	982	1398	222	3391	1338	3	277	2	2
Alpha-1,3-N-acetylgalactosamine transferase PglA (EC 2.4.1.-)	1	2	2	0	252	3	75	136	0	1203	3	75	189	5	49	106	1561	724	2	725	1	1
Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)	1	1	1	1	5	1	6	65	1	3	1	9	19	2	7	1	53	8	1	2	1	1
Alpha-2-macroglobulin	1	1	0	0	23	1	1	12	0	7	0	2	3	3	4	5	20	5	0	0	0	0
Alpha-acetolactate decarboxylase (EC 4.1.1.5)	4	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	6	11	10
Alpha-amylase (EC 3.2.1.1)	10	12	9	4	1141	7	244	444	3	5428	5	445	1277	1686	2157	450	4562	1829	5	587	2	2
Alpha-amylase (Neopullulanase) SusA (EC 3.2.1.135)	4	8	5	5	708	5	78	388	2	2541	4	244	545	814	1653	156	3244	1178	4	184	1	1
Alpha-arabinosides ABC transport system, substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)	1	1	3	1	35	1	2	144	1	93	2	3	15	134	7	27	7	1	1	1	1	1
Alpha-D-GlcNAc alpha-1,2-L-rhamnosyltransferase (EC 2.4.1.-)	0	0	1	1	0	1	3	3	1	0	0	2	0	0	0	1	1	0	128	0	0	0
Alpha-galactosidase (EC 3.2.1.22)	270	621	6	43	103	91	34	139	356	42	470	59	265	200	355	85	684	314	586	304	469	486
Alpha-glucosidase (EC 3.2.1.20)	5611	9	2360	2517	54	1176	1603	1662	28	32	9	971	1037	1109	1469	1469	598	111	9	418	48	11
Alpha-glucosidase SusB (EC 3.2.1.20)	2	8	4	4	577	3	72	354	2	3845	4	215	773	1112	2496	157	3765	1547	1	365	1	0
Alpha-glucosides-binding periplasmic protein AglE precursor	44	0	2	0	3	0	12	18	0	88	0	33	0	0	8	3	1	5	0	2	0	0
Alpha-glycerophosphate oxidase (EC 1.1.3.21)	8	27	7	295	6	328	1603	13	52	15	10	21	72	345	314	4704	2061	9	9	617	0	2
Alpha-hemolysin precursor	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Alpha-L-arabinofuranosidase II precursor (EC 3.2.1.55)	11	0	0	0	1	0	2	0	0	1	0	0	73	0	0	11	4	1	0	0	0	0
Alpha-L-fucosidase (EC 3.2.1.51)	0	0	1	0	42	0	4	62	1	2	0	21	87	7	5	0	99	27	0	5	0	0
Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)	50	1	1	0	6	1	17	19	0	11	1	9	185	5	20	73	274	128	4	7	0	0
Alpha-L-Rha alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.-)	2	1	3	2	5	3	16	14	2	148	2	11	25	73	121	26	243	84	2	92	2	8
Alpha-mannosidase (EC 3.2.1.24)	183	64	2	1	4	1	8	7	273	4	166	17	144	3	10	68	308	128	4	6	132	180
Alpha-N-acetylglucosaminidase (EC 3.2.1.50)	0	1	1	1	30	0	2	45	0	32	1	22	27	1	14	0	20	13	0	0	0	0
Alpha-N-arabinofuranosidase (EC 3.2.1.55)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	4	6	7	3	448	3	588	375	3	972	3	146	567	359	650	388	1666	740	3	490	4	4
Alpha-xylosidase (EC 3.2.1.-)	62	2628	332	2	5	1	19	51	1416	15	1346	4	33	1	10	6	11	2	1	1	915	1422
Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
alternate gene name: yzbB	0	0	0	0	117	0	1	13	0	35	0	47	17	10	92	1	5	2	0	4	0	0
Altronate hydrolase (EC 4.2.1.7)	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0
Altronate oxidoreductase (EC 1.1.1.58)	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Amidophosphoribosyltransferase (EC 2.4.2.14)	48	16	19	8	946	10	2386	1215	11	1868	12	740	1884	644	2725	1117	3191	1645	11	1439	17	29
Amino acid permease in 4-hydroxyproline catabolic gene cluster	220	478	64	106	1	17	7	2	675	1	244	1	1	1	2	2	1	1	445	3	262	427
Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	26	61	41	25	4501	35	4353	7012	15	18672	27	3131	8806	6303	9855	3596	25040	10060	67	5601	7	4
Aminobenzoyl-glutamate transport protein	0	0	0	0	33	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Aminodeoxychorismate lyase (EC 4.1.3.38)	1	5	4	2	26	1	47	19	2	129	1	14	6	56	78	36	196	85	1	51	2	2
Aminoglycoside N6'-acetyltransferase (EC 2.3.1.82)	24	4	17	2	30	2	850	130	3	690	3	126	823	317	1002	578	1600	1275	5	682	2	1
Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	3	9	16	4	139	3	39	271	2	50	21	234	299	18	22	76	458	47	2	9	4	1
Aminopeptidase C (EC 3.4.22.40)	11112	16186	7193	9308	5958	4713	13411	11793	6279	18171	4865	10693	9761	7545	17145	11474	28554	13696	5337	13413	5510	10787
Aminopeptidase S (Leu, Val, Phe, Tyr preference) (EC 3.4.11.24)	2	14	4	5	36	2	126	69	5	38	3	43	7	38	96	91	227	91	4	85	5	4
Aminopeptidase Y (Arg, Lys, Leu preference) (EC 3.4.11.15)	3	5	4	1	212	3	281	644	2	1535	3	86	519	653	1430	155	2179	956	3	755	1	1
Aminopeptidase YpdF (MP-, MA-, MS-, AP-, NP- specific)	5432	6692	1739	4025	2086	1640	5788	5065	5410	903	2514	3284	2481	3210	3248	4467	4676	2227	2775	1178	2116	2194
Ammonium transporter	88	6	11	2	27	3	1734	113	4	750	3	106	1024	164	557	707	2099	1306	8	638	2	3
AMP nucleosidase (EC 3.2.2.4)	2	0	0	0	5	0	3	1	0	4	1	0	2	0	1	1	2	0	0	1	0	0
AmpG permease	5	5	5	3	306	5	183	561	4	1816	3	82	278	614	1507	163	1874	1190	3	2167	3	4
Anaerobic dehydrogenases, typically selenocysteine-containing	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-)	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Anaerobic dimethyl sulfoxide reductase chain C (EC 1.8.99.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	5	9	6	5	99	6	876	254	2	860	6	1388	278	445	208	1245	1801	467	4	545	0	1
Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	1	6	8	2	107	2	425	170	3	684	3	1255	145	211	196	800	1227	302	1	402	1	1
Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.5.3)	1	3	3	1	3	1	330	143	0	784	1	33	103	154	162	682	1085	329	0	441	0	0
Anaerobic nitric oxide reductase flavorubredoxin	5	8	3	6	273	7	276	405	4	2933	4	222	629	1047	1495	245	3207	1805	6	1366	3	1
Anaerobic sulfite reductase subunit A	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Anaerobic sulfite reductase subunit B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Anaerobic sulfite reductase subunit C (EC 1.8.1.-)	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-)	1	2	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0
Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	2	2	2	1	26	19	90	166	2	40	2	57	2	325	118	489	617	158	1	15	1	6
Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	1	2	1	1	3	1	72	83	2	33	1	1	47	129	228	77	622	310	1	381	1	1
Anthranilate synthase, aminase component (EC 4.1.3.27)	1	3	0	0	24	3	136	146	1	85	3	64	1	314	192	712	903	217	0	17	0	0
anti sigma b factor antagonist RsbV	1	8	1	1	206	1	4	40	1	29	1	74	2	1	1	1	11	7	1	2	4	2
Antiadhesin Pls, binding to squamous nasal epithelial cells	0	0	0	0	3	0	1	3	0	6	0	16	0	1	1	1	8	1	1	0	0	0
Antiholin-like protein LrgA	3	17	3	17	1332	5	92	1760	49	496	4	734	215	399	567	98	1297	316	55	464	8	39
Antiphagocytic M protein	0	0	1	1	0	3	2	0	0	1	0	1	0	1	4	1	0	1	0	0	0	0
Antisigma transmembrane sensor FpvR	0	2	0	0	74	0	3	90	0	22	0	28	90	4	17	0	11	15	0	2	1	1
Apolipoprotein N-acyltransferase (EC 2.3.1.-)	0	1	1	0	3	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Aquaporin Z	116	9	25	8	36	8	245	638	7	940	6	304	983	375	4875	855	2887	2829	5	1784	3	4
Arabinan endo-1,5-alpha-L-arabinosidase (EC 3.2.1.99)	0	0	0	0	97	0	0	4	0	46	0	45	6	5	38	0	7	1	0	1	0	0
Arabinogalactan endo-1,4-beta-galactosidase (EC 3.2.1.89)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Arabinose 5-phosphate isomerase (EC 5.3.1.13)	1	409	4	5	317	2	286	160	69	70	19	241	551	114	199	270	298	196	3	125	114	2
Arabinose operon regulatory protein	0	0	0	0	2	0	0	1	0	1	0	3	0	0	0	5	4	0	0	0	0	0
Arabinose-proton symporter	0	1	0	1	10	0	0	4	1	20	0	4	2	3	7	1	1	3	0	1	0	2
archaeal ATPase, fused to C-terminal DUF234 domain	7	1	1	1	74	1	45	92	1	1	1	35	89	33	10	42	54	38	1	8	1	1
AreA (Esterase for aryl ester catabolic pathway) (EC 3.1.1.-)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arginase (EC 3.5.3.1)	0	0	0	2	8	0	0	6	0	11	0	8	0	0	0	0	0	0	0	0	0	0
Arginine ABC transporter, ATP-binding protein ArtP	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
Arginine ABC transporter, periplasmic arginine-binding protein ArtI	3	0	0	0	3	1	0	10	0	2	0	0	2	0	2	0	6	0	0	5	0	0
Arginine ABC transporter, periplasmic arginine-binding protein ArtJ	0	0	0	0	52	0	27	84	1	100	0	101	203	117	161	21	539	85	2	126	1	0
Arginine ABC transporter, permease protein ArtM	0	4	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Arginine ABC transporter, permease protein ArtQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Arginine decarboxylase (EC 4.1.1.19)	0	0	0	0	22	0	0	1	0	14	0	2	0	0	0	0	2	0	0	1	0	0
Arginine deiminase (EC 3.5.3.6)	53	4394	700	9779	6920	20	687	7405	340	18688	591	18587	1724	736	747	844	1702	147	2693	22	2296	1799
Arginine N-succinyltransferase (EC 2.3.1.109)	0	0	1	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Arginine pathway regulatory protein ArgR, repressor of arg regulon	192	27	32	55	1736	17	6740	2838	50	3781	18	1388	2886	2084	5033	3747	4816	3332	92	1581	19	15
Arginine permease RocE	0	0	0	0	9	1	2	16	0	23	0	15	6	9	9	7	31	9	0	9	0	0
Arginine utilization protein RocB	0	2	0	0	11	1	3	21	0	13	0	42	2	1	1	0	5	7	0	0	0	0
Arginine/agmatine antiporter	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Arginine/ornithine antiporter	612	56	34	449	3	68	3	2	1	2	2	3	1	1	2	3	2	2	1128	1	12	20
Arginine/ornithine antiporter ArcD	13	1735	455	6327	4525	11	80	3688	29	670	10	6317	800	802	643	296	880	96	2599	134	704	1520
